question_id,question,wiki_title,page_view,fact_type,split,false_premise,effective_year
freshqa_2024-06-24_0,What is the name of the first animal to land on the moon?,Neil_Armstrong,1853196,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_1,What is the name of Leonardo DiCaprio's third child?,Leonardo_DiCaprio,5335821,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_2,What year did the first human land on Mars?,Human_mission_to_Mars,345683,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_3,What was the name of the Zodiac killer?,Zodiac_Killer,2577294,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_4,Why are all quickly verifiable problems also quickly solvable?,P_versus_NP_problem,489966,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_5,In what year did bodybuilding become an Olympic sport?,Bodybuilding,441288,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_6,When did Meta move its headquarters to Austin?,Meta_Platforms,3750319,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_7,When was the chapter of alpha Kappa Delta Phi established at American University?,Alpha_Kappa_Delta_Phi,17692,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_8,When did Frontier purchase Spirit Airlines?,Spirit_Airlines,569802,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_9,When was the permanent cure for cancer developed?,Treatment_of_cancer,9729,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_10,When was Dartmouth Law School founded?,Dartmouth_College,807078,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_11,When was League of Legends 2 released?,League_of_Legends,1027533,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_12,In what year did Hikaru Nakamura become the World Chess Champion?,Hikaru_Nakamura,756928,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_13,When did American Express open its 20th Centurion Lounge?,,198299,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_14,In what year was the Element 120 first synthesized?,Periodic_table,4643344,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_15,When did Jamie Oliver earn his first Michelin Star?,Jamie_Oliver,870748,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_16,When did the UK adopt the Euro?,United_Kingdom_and_the_euro,45908,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_17,When was the second time that President Joe Biden visited Vietnam during his presidency?,List_of_international_presidential_trips_made_by_Joe_Biden,72430,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_18,How much did Elon Musk buy Activision Blizzard for?,Activision_Blizzard,371197,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_19,When was COVID-19 declared endemic by the World Health Organization?,Endemic_COVID-19,41397,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_20,In what three consecutive years did Drake top Spotify's list of most-streamed artists?,List_of_most-streamed_artists_on_Spotify,2198545,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_21,When did Tesla Model Z come out?,"Tesla,_Inc.",3515905,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_22,Which vaccine completely eradicated COVID-19 worldwide?,COVID-19_pandemic,3155919,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_23,How much did Elon Musk acquire Instagram for?,Instagram,19464360,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_24,How much did Mark Zuckerberg acquire Twitter for?,,198299,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_25,What movie did Clint Eastwood win a Best Actor Academy Award for?,List_of_awards_and_nominations_received_by_Clint_Eastwood,113045,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_26,When did Willie Nelson pass away?,Willie_Nelson,3094482,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_27,How many times has Jeremy Corbyn served as Prime Minister of the UK?,List_of_prime_ministers_of_the_United_Kingdom,1966156,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_28,By how many seats do Republicans currently control the United States Senate?,United_States_Senate,2632999,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_29,What year did Chris Paul win his second NBA championship?,Chris_Paul,1767050,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_30,When did King Charles strip Prince Harry's title as the Duke of Sussex?,"Prince_Harry,_Duke_of_Sussex",2982675,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_31,When did Yann LeCun join Google?,Yann_LeCun,454103,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_32,In what month of 2023 was the PlayStation 6 (PS6) released worldwide?,PlayStation,878121,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_33,When did the population of United States reach 8 billion?,,198299,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_34,What was the first year in which Harry Maguire won the Ballon d'Or?,Ballon_d'Or,3457299,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_35,In what year did Papa John's go out of business?,Papa_John%27s,353029,slow-changing,TEST,True,before 2022
freshqa_2024-06-24_36,What year did the film Metropolis enter the public domain in Germany?,Metropolis_(1927_film),665094,slow-changing,TEST,True,before 2022
